Name,Team,Role,Has_Withdrawn,Is_Captain,Is_ViceCaptain,Age,Batting_Style,Bowling_Style
Shaheen Shah Afridi,Pakistan,Bowler,false,false,false,24y 48d,Left hand Bat,Left arm Fast
Assad Vala,Papua New Guinea,Batter,false,true,false,36y 277d,Left hand Bat,Right arm Offbreak
Sese Bau,Papua New Guinea,Middle order Batter,false,false,false,31y 320d,Left hand Bat,Right arm Offbreak
Kiplin Doriga,Papua New Guinea,Wicketkeeper Batter,false,false,false,28y 203d,Right hand Bat,
Hiri Hiri,Papua New Guinea,Middle order Batter,false,false,false,29y 7d,Right hand Bat,Right arm Offbreak
Lega Siaka,Papua New Guinea,Opening Batter,false,false,false,31y 139d,Right hand Bat,"Right arm Fast medium, Legbreak"
Tony Ura,Papua New Guinea,Opening Batter,false,false,false,34y 206d,Right hand Bat,
Hila Vare,Papua New Guinea,Batter,false,false,false,22y 272d,Left hand Bat,
Charles Amini,Papua New Guinea,Allrounder,false,false,true,32y 24d,Left hand Bat,Legbreak
Jack Gardner,Papua New Guinea,Bowler,false,false,false,23y 137d,Left hand Bat,Left arm Fast
Semo Kamea,Papua New Guinea,Bowler,false,false,false,22y 261d,Left hand Bat,Slow Left arm Orthodox
John Kariko,Papua New Guinea,Bowler,false,false,false,20y 113d,Right hand Bat,Left arm Medium
Kabua Morea,Papua New Guinea,Bowler,false,false,false,30y 221d,Right hand Bat,Right arm Medium
Alei Nao,Papua New Guinea,Bowler,false,false,false,30y 151d,Right hand Bat,Right arm Medium fast
Chad Soper,Papua New Guinea,Bowler,false,false,false,32y 171d,Right hand Bat,Right arm Medium
Norman Vanua,Papua New Guinea,Bowler,false,false,false,30y 158d,,
Richie Berrington,Scotland,Top order Batter,false,true,false,37y 33d,Right hand Bat,Right arm Medium fast
Matthew Cross,Scotland,Wicketkeeper Batter,false,false,false,31y 204d,Right hand Bat,
Ollie Hairs,Scotland,Opening Batter,false,false,false,33y 22d,Left hand Bat,Right arm Offbreak
Michael Jones,Scotland,Top order Batter,false,false,false,26y 122d,Right hand Bat,Right arm Offbreak
George Munsey,Scotland,Opening Batter,false,false,false,31y 75d,Left hand Bat,Right arm Medium fast
Charlie Tear,Scotland,Wicketkeeper Batter,false,false,false,19y 329d,Right hand Bat,
Michael Leask,Scotland,Allrounder,false,false,false,33y 190d,Right hand Bat,Right arm Offbreak
Brandon McMullen,Scotland,Batting Allrounder,false,false,false,24y 201d,Right hand Bat,Right arm Medium
Brad Currie,Scotland,Bowler,false,false,false,25y 180d,Right hand Bat,Left arm Medium
Chris Greaves,Scotland,Bowler,false,false,false,33y 207d,Right hand Bat,Legbreak
Jack Jarvis,Scotland,Bowler,false,false,false,20y 343d,Right hand Bat,Right arm Medium fast
Safyaan Sharif,Scotland,Bowler,false,false,false,32y 348d,Right hand Bat,Right arm Medium fast
Chris Sole,Scotland,Bowler,false,false,false,30y 69d,Right hand Bat,Right arm Fast medium
Mark Watt,Scotland,Bowler,false,false,false,27y 282d,Left hand Bat,Slow Left arm Orthodox
Brad Wheal,Scotland,Bowler,false,false,false,27y 252d,Right hand Bat,Right arm Fast medium
Aiden Markram,South Africa,Opening Batter,false,true,false,29y 209d,Right hand Bat,Right arm Offbreak
Quinton de Kock,South Africa,Wicketkeeper Batter,false,false,false,31y 135d,Left hand Bat,
Reeza Hendricks,South Africa,Opening Batter,false,false,false,34y 260d,Right hand Bat,Right arm Offbreak
Heinrich Klaasen,South Africa,Wicketkeeper Batter,false,false,false,32y 275d,Right hand Bat,Right arm Offbreak
David Miller,South Africa,Middle order Batter,false,false,false,34y 325d,Left hand Bat,Right arm Offbreak
Ryan Rickelton,South Africa,Wicketkeeper Batter,false,false,false,27y 294d,Left hand Bat,
Tristan Stubbs,South Africa,Batter,false,false,false,23y 260d,Right hand Bat,Right arm Offbreak
Marco Jansen,South Africa,Bowling Allrounder,false,false,false,23y 365d,Right hand Bat,Left arm Medium fast
Ottneil Baartman,South Africa,Bowler,false,false,false,31y 43d,Right hand Bat,Right arm Medium fast
Gerald Coetzee,South Africa,Bowler,false,false,false,23y 211d,Right hand Bat,Right arm Fast
Bjorn Fortuin,South Africa,Bowler,false,false,false,29y 192d,Right hand Bat,Slow Left arm Orthodox
Keshav Maharaj,South Africa,Bowler,false,false,false,34y 83d,Right hand Bat,Slow Left arm Orthodox
Anrich Nortje,South Africa,Bowler,false,false,false,30y 166d,Right hand Bat,Right arm Fast
Kagiso Rabada,South Africa,Bowler,false,false,false,28y 341d,Left hand Bat,Right arm Fast
