Name,Team,Role,Has_Withdrawn,Is_Captain,Is_ViceCaptain,Age,Batting_Style,Bowling_Style,Matches_Played,Innings_Batted,Notouts,Runs_Scored,Balls_Faced,Highest_Score,Batting_Average,Batting_Strike_Rate,Hundreds,Fifties,Ducks,Fours,Sixes,Innings_Bowled,Overs_Bowled,Maidens_Earned,Runs_Conceded,Wickets_Taken,Best_Bowling_Figures,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Five_Wickets_Haul,Ten_Wickets_Haul,Catches_Taken,Stumpings_Made
Chris Jordan,England,Bowler,false,false,false,35y 209d,Right hand Bat,Right arm Fast medium,5,2,1,2,8,1*,2.00,25.00,,,,0,0,5,13.5,,134,10,4/10,13.40,9.68,8.3,,,2,
Adil Rashid,England,Bowler,false,false,false,36y 73d,Right hand Bat,Legbreak,8,1,,2,2,2,2.00,100.00,,,,0,0,8,28.0,,186,10,4/11,18.60,6.64,16.8,,,,
Reece Topley,England,Bowler,false,false,false,30y 69d,Right hand Bat,Left arm Fast medium,6,1,1,3,3,3*,0.00,100.00,,,,0,0,6,18.0,,121,2,1/25,60.50,6.72,54.0,,,,
Mark Wood,England,Bowler,false,false,false,34y 110d,Right hand Bat,Right arm Fast,5,,,,0,,0.00,0.00,,,,0,0,5,13.0,,113,3,3/12,37.66,8.69,26.0,,,2,
Rohit Sharma,India,Top order Batter,false,true,false,37y,Right hand Bat,Right arm Offbreak,8,8,1,257,164,92,36.71,156.70,,3,,24,15,,,,,,,,,,,,,
Yashasvi Jaiswal,India,Opening Batter,false,false,false,22y 124d,Left hand Bat,Legbreak,,,,,,,,,,,,,,,,,,,,,,,,,,
Virat Kohli,India,Top order Batter,false,false,false,35y 177d,Right hand Bat,Right arm Medium,8,8,,151,134,76,18.87,112.68,,1,2,8,7,,,,,,,,,,,,,
Rishabh Pant,India,Wicketkeeper Batter,false,false,false,26y 209d,Left hand Bat,,8,8,1,171,134,42,24.42,127.61,,,1,19,6,,,,,,,,,,,,,
Sanju Samson,India,Wicketkeeper Batter,false,false,false,29y 171d,Right hand Bat,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suryakumar Yadav,India,Batter,false,false,false,33y 229d,Right hand Bat,"Right arm Medium, Right arm Offbreak",8,8,1,199,147,53,28.42,135.37,,2,,15,10,,,,,,,,,,,,,
Hardik Pandya,India,Allrounder,false,false,true,30y 202d,Right hand Bat,Right arm Medium fast,8,6,3,144,95,50*,48.00,151.57,,1,,11,9,8,25.0,2,191,11,3/20,17.36,7.64,13.6,,,2,
Shivam Dube,India,Allrounder,false,false,false,30y 309d,Left hand Bat,Right arm Medium,8,8,2,133,116,34,22.16,114.65,,,1,6,7,,,,,,,,,,,,,
Ravindra Jadeja,India,Allrounder,false,false,false,35y 146d,Left hand Bat,Slow Left arm Orthodox,8,5,2,35,22,17*,11.66,159.09,,,1,3,1,7,14.0,,106,1,1/20,106.00,7.57,84.0,,,3,
Axar Patel,India,Allrounder,false,false,false,30y 101d,Left hand Bat,Slow Left arm Orthodox,8,5,1,92,66,47,23.00,139.39,,,,5,6,8,22.0,1,173,9,3/23,19.22,7.86,14.6,,,4,
Arshdeep Singh,India,Bowler,false,false,false,25y 85d,Left hand Bat,Left arm Medium fast,8,3,2,12,16,9,12.00,75.00,,,,1,0,8,30.0,,215,17,4/9,12.64,7.16,10.5,,,3,
Jasprit Bumrah,India,Bowler,false,false,false,30y 146d,Right hand Bat,Right arm Fast,8,1,,,1,,0.00,0.00,,,1,0,0,8,29.4,2,124,15,3/7,8.26,4.17,11.8,,,2,
Yuzvendra Chahal,India,Bowler,false,false,false,33y 282d,Right hand Bat,Legbreak Googly,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuldeep Yadav,India,Bowler,false,false,false,29y 138d,Left hand Bat,Left arm Wrist spin,5,,,,0,,0.00,0.00,,,,0,0,5,20.0,,139,10,3/19,13.90,6.95,12.0,,,2,
Mohammed Siraj,India,Bowler,false,false,false,30y 48d,Right hand Bat,Right arm Fast,3,1,1,7,7,7*,0.00,100.00,,,,0,0,3,11.0,,57,1,1/13,57.00,5.18,66.0,,,2,
Ross Adair,Ireland,Top order Batter,false,false,false,30y 16d,Right hand Bat,Slow Left arm Orthodox,,,,,,,,,,,,,,,,,,,,,,,,,,
Andy Balbirnie,Ireland,Batter,false,false,false,33y 131d,Right hand Bat,Right arm Offbreak,3,3,,22,32,17,7.33,68.75,,,1,2,0,,,,,,,,,,,,,
Neil Rock,Ireland,Wicketkeeper Batter,false,false,false,23y 226d,Left hand Bat,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harry Tector,Ireland,Middle order Batter,false,false,false,24y 153d,Right hand Bat,Right arm Offbreak,3,3,,11,27,7,3.66,40.74,,,1,0,0,,,,,,,,,,,,,
